"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"12436","Oregon State University (OSU)","School of Biological and Population Health Sciences",16400,0.92,"2014-2015","1st",NA,"$16,400",NA,NA,NA,"health"
"12437","University of North Carolina - Chapel Hill (UNC)","city & regional planning",24000,1.28,"2014-2015","1st","$24,000",NA,NA,NA,NA,"city & regional planning"
"12438","University of Texas - Austin (UT)","ICES",35000,1.78,"2014-2015","2nd","$35,000",NA,NA,NA,NA,"ices"
"12439","University of Massachusetts - Amherst (UMass)","German",15800,0.84,"2014-2015","1st",NA,"$17,000",NA,"$1,200","Approximately $1,200 in fees the first year, then about $800 after that. 
Rent for a two bedroom averages $1,100.  
Not all departments offer the full TA here, so some students only earn around $8,000. Most students have to find outside work or take out loans. Almost everyone works over the summer.","language"
"12440","University of California - Santa Cruz","Computer Science",24000,0.94,"2014-2015","1st",NA,"$21,000","$3,000",NA,"Fellowship stipend. Cost of living is very high in Santa Cruz. My partner and I share a 1 bedroom for $1425/month.","computer science"
"12441","University of Miami (UM)","Program in Biomedical Sciences",28000,1.25,"2014-2015","4th","$28,000",NA,NA,NA,"No State tax deductions in FL","biomed"
"12442","University of Wyoming (UW)","Chemical Engineering",18700,1.14,"2014-2015","3rd","$19,000",NA,NA,"$300",NA,"chemistry"
"12443","University of Iowa (UI)","school of journalism and mass communication",21000,1.18,"2014-2015","1st",NA,"$21,000",NA,NA,NA,"journalism"
"12444","University of Iowa (UI)","Art",15600,0.88,"2014-2015","3rd",NA,"$18,000",NA,"$2,400",NA,"art"
"12445","University of Iowa (UI)","Informatics",22800,1.28,"2014-2015","2nd","$22,800",NA,NA,NA,"I am a fellow, and the University does not withhold taxes and social security.","information science"
"12446","University of Iowa (UI)","Journalism and Mass Communication",18080,0.81,"2015-2016","3rd",NA,"$18,080",NA,NA,NA,"journalism"
"12447","University of Massachusetts - Amherst (UMass)","sociology",17800,0.78,"2015-2016","1st",NA,"$17,200","$2,000","$1,400",NA,"sociology"
"12448","Massey University (New Zealand)","School of Psychology",25000,NA,"2014-2015","3rd","$25,000",NA,NA,NA,NA,"psychology"
"12449","University of Wisconsin - Milwaukee (UWM)","Marketing/PhD",18500,0.94,"2014-2015","1st",NA,"$20,000",NA,"$1,500",NA,"marketing"
"12450","Stanford University (SU)","Biosciences",33000,1.32,"2014-2015","2nd","$33,000",NA,NA,NA,NA,"biology"
"12451","University of North Carolina - Chapel Hill (UNC)","Physics and Astronomy",22200,1.18,"2014-2015",NA,"$24,000",NA,NA,"$1,800",NA,"physics"
"12452","Duke University (DU)","Divinity School",14000,0.74,"2014-2015","4th",NA,"$14,000",NA,NA,"I included in the Gross Pay both my compensatory and non-compesatory stipend. Of this amount, $3,000 I just get and the other $11,000 I received for precepting/TA work","divinity school"
"12453","Iowa State University (ISU)","Statistics",18000,0.95,"2014-2015","5th",NA,"$18,000",NA,NA,"Easy to afford living in Ames on this if you're willing to have a roommate (and fairly easy to do it alone).","statistics"
"12454","Stanford University (SU)","Biomedical Informatics",34000,1.36,"2014-2015","4th","$34,000",NA,NA,NA,"This is supplemented by fellowsips. The real base is closer to 32K","biomed"
"12455","Rice University","Biochemistry & Cell Biology",28000,1.46,"2014-2015","3rd","$28,500",NA,NA,"$500",NA,"biology"
"12456","Cornell University (CU)","Applied physics",24658,1.15,"2014-2015","1st","$24,658",NA,NA,NA,NA,"physics"
"12457","Duke University (DU)","Chemistry",27500,1.46,"2014-2015","1st","$27,500",NA,NA,NA,NA,"chemistry"
"12458","Michigan State University (MSU)","Higher Education",18000,0.98,"2014-2015","1st",NA,"$18,000",NA,NA,NA,"education"
"12459","University of Colorado - Boulder (UCB)","Business",22000,1.06,"2014-2015","1st",NA,"$22,000","$3,000","$3,000",NA,"business"
"12460","University of Delaware (UD)","Chemical Engineering",30000,1.34,"2014-2015","1st","$30,000",NA,NA,NA,"The fees includes full medical insurance","chemistry"
"12461","University of Rochester (UR)","Mechanical Engineering",29500,1.38,"2015-2016","5th","$30,000",NA,NA,"$500",NA,"mechanical engineering"
"12462","Stanford University (SU)","Classics",33000,1.32,"2014-2015","1st",NA,"$28,000","$5,000",NA,NA,"classical studies"
"12463","University of Rochester (UR)","Chemistry",29980,1.64,"2014-2015","3rd","$30,000",NA,NA,"$20","IGERT Traineeship covered entire stipend","chemistry"
"12464","University of California - Los Angeles (UCLA)","Gender Studies",31000,1.2,"2015-2016","1st","$31,000",NA,NA,NA,NA,"gender studies"
"12465","University of California - Berkeley","Political Science",26000,1.09,"2014-2015","1st",NA,"$23,000","$3,000",NA,NA,"political science"
"12466","Vanderbilt University","History",23800,1.2,"2014-2015","4th","$24,000",NA,NA,"$200","Required fees is $200 a semester in activity fees","history"
"12467","University of Massachusetts - Amherst (UMass)","Sociology",15662,0.83,"2014-2015",NA,NA,"$16,387",NA,"$725","22.76 per hour, full-time is considered 20 hours per week","sociology"
"12468","University of Maryland - College Park (UMD)","Department of Counseling, Higher Education, and Special Education",22227,0.81,"2014-2015","1st","$22,227",NA,NA,NA,NA,"education"
"12469","Northwestern University (NU)","English",27560,1.26,"2014-2015","1st","$28,000",NA,NA,"$440",NA,"english"
"12470","Old Dominion University (ODU)","OEAS",22000,1.01,"2014-2015","5th","$22,000",NA,NA,NA,"*Currently PhD Candidate - no raise associated with that new title.","oeas"
"12471","Harvard University (HU)","Chemical Biology",35652,1.24,"2015-2016","1st","$35,652",NA,NA,NA,NA,"biology"
"12472","North Carolina State University (NCSU)","Psychology",13000,0.57,"2015-2016",NA,NA,"$14,000",NA,"$1,000","Full tuition waiver and health insurance","psychology"
"12473","Syracuse University","Political Science",17312,0.81,"2015-2016","1st",NA,"$18,100",NA,"$788",NA,"political science"
"12474","University of Illinois - Urbana- Champaign (UIUC)","Business",32500,1.88,"2014-2015","1st",NA,"$32,500",NA,NA,NA,"business"
"12475","University of Texas - Austin (UT)","Biomedical Engineering",33000,1.68,"2014-2015","1st","$33,000",NA,NA,NA,NA,"biomed"
"12476","University of California - Santa Barbara (UCSB)","Physics",26748,1.02,"2015-2016","1st",NA,"$23,538","$3,210",NA,"$18k base as a 50% TA, $5k fellowship, RA would earn an additional $4k","physics"
"12477","University of Chicago (UC)","Institute of Molecular Engineering",31352,1.29,"2015-2016","1st","$31,352",NA,NA,NA,"No TA required, additional $4k fellowship brings total to $35k","biology"
"12478","University of California - Berkeley","german",21000,0.76,"2015-2016","1st",NA,"$21,000",NA,NA,NA,"language"
"12479","Columbia University (CU)","Biomedical Engineering",33600,1.27,"2014-2015","4th","$33,600",NA,NA,NA,"after tax ~$2100/month","biomed"
"12480","University of Washington (UW)","Mechanical Engineering",20800,1.04,"2014-2015","1st","$22,000",NA,NA,"$1,200",NA,"mechanical engineering"
"12481","University of California - Los Angeles (UCLA)","Chemistry",28000,1.18,"2014-2015","4th","$28,000",NA,NA,NA,"GSR includes health insurance","chemistry"
"12482","Cornell University (CU)","Biological & Biomedical Science",30933,1.45,"2014-2015","1st","$31,033",NA,NA,"$100",NA,"biomed"
"12483","University of Illinois - Urbana- Champaign (UIUC)","electrical and computer engineering",20480,1.19,"2014-2015","5th",NA,"$21,240",NA,"$760",NA,"electrical engineering"
"12484","University of Vermont (UVM)","Bioengineering",22500,1.06,"2014-2015","2nd","$24,500",NA,NA,"$2,000",NA,"biology"
"12485","Boston College (BC)","Physics",29940,1.17,"2014-2015","4th","$30,000",NA,NA,"$60","Health insurance included. Gym membership not (~$350/year).","physics"
"12486","Georgia Institute of Technology (Georgia Tech)","Biomedical Engineering",24600,1.06,"2015-2016","1st","$28,000",NA,NA,"$3,400","Department is joint between GT & Emory.  Students are paid via the institution where the advisor/lab resides.  Fees are slightly different at each but very close in the total amount.","biomed"
"12487","University of Illinois - Urbana- Champaign (UIUC)","Sociology",16000,0.73,"2015-2016","1st",NA,"$16,000",NA,NA,NA,"sociology"
"12488","Boston College (BC)","History",20000,0.78,"2014-2015","1st",NA,"$20,000",NA,NA,NA,"history"
"12489","Colorado School of Mines","Petroleum Engineering",15200,0.68,"2015-2016","1st","$15,200",NA,NA,NA,NA,"petroleum engineering"
"12490","Rice University","Chemistry",26500,1.38,"2014-2015","1st","$27,000",NA,NA,"$500",NA,"chemistry"
"12491","Syracuse University","Biology PhD program",26080,1.22,"2015-2016","1st",NA,"$26,080",NA,NA,NA,"biology"
"12492","Ohio University (OU)","Mass Communication",12732,0.61,"2015-2016","1st",NA,"$14,000",NA,"$1,268",NA,"communication"
"12493","University of Alabama (UA)","Political Science",12304,0.71,"2014-2015","1st",NA,"$13,104",NA,"$800","Health Insurance also paid by the school","political science"
"12494","Bowling Green State University (BGSU)","American Culture Studies",12800,0.68,"2015-2016","1st",NA,"$14,000",NA,"$1,200",NA,"american studies"
"12495","University of Southern California (USC)","Linguistics",31500,1.22,"2015-2016","1st","$32,000",NA,NA,"$500",NA,"linguistics"
"12496","Cornell University (CU)","English",29858,1.23,"2015-2016","1st",NA,"$24,658","$5,200",NA,NA,"english"
"12497","Yale University (YU)","Sociology",29000,1.17,"2015-2016","1st","$29,000",NA,NA,NA,NA,"sociology"
"12498","University of Maryland - College Park (UMD)","Linguistics",30250,1.1,"2014-2015","1st","$31,000",NA,NA,"$750",NA,"linguistics"
"12499","University of Utah","Biochemistry",26000,1.32,"2014-2015","4th","$26,000",NA,NA,NA,NA,"chemistry"
"12500","Boston University (BU)","Anthropology",20000,0.76,"2014-2015",NA,NA,"$20,000",NA,NA,NA,"anthropology"
"12501","Boston University (BU)","Biology",30795,1.17,"2014-2015","1st","$30,795",NA,NA,NA,NA,"biology"
"12502","Brown University","Health Services Research",31600,1.39,"2015-2016",NA,"$31,600",NA,NA,NA,NA,"health"
"12503","University of California - Berkeley","Computational Biology",34000,1.22,"2015-2016","3rd","$34,000",NA,NA,NA,NA,"biology"
"12504","University of California - Berkeley","EECS",44500,1.86,"2014-2015","1st","$44,500",NA,NA,NA,"Includes NSF fellowship","computer science"
"12505","Texas A&amp;M; University - College Station","Political Science",15700,NA,"2015-2016","1st","$18,000",NA,NA,"$2,300",NA,"political science"
"12506","Northwestern University (NU)","Mat Sci",28060,1.29,"2014-2015","2nd","$28,500",NA,NA,"$440",NA,"mat sci"
"12507","Duke University (DU)","Genetics and Genomics",29860,1.34,"2015-2016","1st","$29,860",NA,NA,NA,NA,"genetics and genomics"
"12508","University of Michigan - Ann Arbor (UM)","Chemical Biology",29000,1.26,"2015-2016","1st","$29,000",NA,NA,NA,NA,"biology"
"12509","University of California - San Diego (UCSD)","Sociology",19000,0.8,"2014-2015","1st",NA,"$19,000",NA,NA,NA,"sociology"
"12510","Rice University","Anthropology",22034,1.01,"2015-2016","4th",NA,"$21,500","$534",NA,"Partial health insurance","anthropology"
"12511","Rice University","Anthropology",22034,1.01,"2015-2016","1st",NA,"$21,500","$534",NA,"Partial health insurance","anthropology"
"12512","University of California - Los Angeles (UCLA)","physics",30000,1.27,"2014-2015","2nd","$30,000",NA,NA,NA,NA,"physics"
"12513","Ohio University (OU)","Communication Studies",12500,0.75,"2014-2015","2nd",NA,"$15,000",NA,"$2,500",NA,"communication"
"12514","University of Minnesota - Twin Cities (UM)","History of Science, Technology, and Medicine",16894,0.84,"2014-2015","5th",NA,"$16,894",NA,NA,NA,"history"
"12515","University of Notre Dame (ND)","Physics",25700,1.26,"2015-2016","1st",NA,"$21,000","$4,700",NA,"2 months of summer funding at the same rate","physics"
"12516","University of California - Los Angeles (UCLA)","MBIDP",31000,1.31,"2014-2015","4th","$31,000",NA,NA,NA,NA,"mbidp"
"12517","Dartmouth College","Computer Science",21150,0.85,"2015-2016","1st",NA,"$21,150",NA,NA,NA,"computer science"
"12518","University of Wisconsin - Madison (UW)","Computer Science",23000,1.01,"2015-2016","1st","$23,000",NA,NA,NA,NA,"computer science"
"12519","Vanderbilt University","Computer Science",27000,1.18,"2015-2016","1st","$27,000",NA,NA,NA,NA,"computer science"
"12520","University of Virginia (UVA)","Computer Science",23000,1.01,"2015-2016","1st","$23,000",NA,NA,NA,NA,"computer science"
"12521","Johns Hopkins University (JHU)","Civil Engineering",25000,1.07,"2014-2015",NA,"$25,000",NA,NA,NA,NA,"civil engineering"
"12522","Purdue University - West Lafayette","electrical and computer engineering",21300,1.01,"2015-2016","1st","$24,000",NA,NA,"$2,700","1000 per semester fee + 50 health assurance are to be paid per semester, but i think the summer wont cost 1000.","electrical engineering"
"12523","University of Virginia (UVA)","MAE",21000,1.07,"2014-2015","1st","$21,000",NA,NA,NA,NA,"mae"
"12524","University of Southern California (USC)","Civil Engineering",32000,1.24,"2015-2016",NA,"$32,000",NA,NA,NA,NA,"civil engineering"
"12525","University of North Carolina - Chapel Hill (UNC)","Microbiology and Immunology",28500,1.52,"2014-2015","6th and up","$30,000",NA,NA,"$1,500",NA,"biology"
"12526","University of Chicago (UC)","Phd Public Policy",23900,0.99,"2015-2016","1st","$25,000",NA,NA,"$1,100",NA,"political science"
"12527","Carnegie Mellon University (CMU)","Physics",28500,1.38,"2015-2016","1st","$28,500",NA,NA,NA,"$2,375/month","physics"
"12528","University of California - Berkeley","Political Science",25000,1.04,"2014-2015","6th and up",NA,"$25,000",NA,NA,NA,"political science"
"12529","University of Southern California (USC)","GMCB",30800,1.3,"2014-2015","4th","$31,000",NA,NA,"$200",NA,"gmcb"
"12530","Duke University (DU)","Electrical and Computer Engineering",28600,1.29,"2015-2016","1st","$28,600",NA,NA,NA,NA,"electrical engineering"
"12531","University of Delaware (UD)","Sociology",16900,0.75,"2014-2015","3rd","$17,500",NA,NA,"$600",NA,"sociology"
"12532","Texas Tech University (TTU)","Personal Financial Planning",18350,1.12,"2014-2015","2nd","$18,850",NA,NA,"$500",NA,"personal financial planning"
"12533","Duke University (DU)","Music",26580,1.41,"2014-2015","1st",NA,"$21,080","$5,500",NA,NA,"music"
"12534","University of Washington","Physics",27340,NA,"2014-2015","6th and up","$28,900",NA,NA,"$1,560","$1140/mo. during the year, but $1500/mo. in the summer. The additional pay during the summer doesn't necessarily apply to all students in the department.","physics"
"12535","University of Georgia (UGA)","Integrated Life Sciences",25000,1.39,"2014-2015","1st","$25,000",NA,NA,NA,"14 distinct graduate programs and over 200 faculty; subsidized health insurance and waivers; tuition reduced to $25 per semester; average 1 bedroom apartment $400-600.","integrated life sciences"
"12536","Columbia University (CU)","Physics",33792,1.27,"2014-2015","1st","$33,792",NA,NA,NA,NA,"physics"
"12537","University of Minnesota - Twin Cities (UM)","Physics",24440,1.07,"2015-2016",NA,"$24,440",NA,NA,NA,NA,"physics"
"12538","University of Northern Colorado (UNC)","Chemistry",22000,1.25,"2014-2015","5th","$24,000",NA,NA,"$2,000",NA,"chemistry"
